C:\Agilent\ICPMH\1\DATA\181022\181022a_grt_nogas.b\002.d
Intensity Vs Time,CPS
Acquired      : 10/22/2018 12:43:29 PM using Batch 181022a_grt_nogas.b
Time [Sec],Li7,Mg24,Al27,Si29,Ca43,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Zn66,Ga71,Y89,Zr90,Nb93,In115,Sn118,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Pb208,Th232,U238
18.6317,2400.15,1600.07,13504.79,1290750.21,6000.96,2400.15,400.00,1400.05,17608.33,309049.38,2500.17,0.00,1800.09,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.0367,3200.26,1400.05,10002.63,1302652.47,3600.35,2000.11,200.00,600.01,13604.97,294820.95,2500.17,800.02,1400.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.4417,3400.30,1400.05,12003.78,1316323.34,5000.67,3200.27,0.00,1000.03,16407.23,278065.52,8501.95,1400.05,1400.05,0.00,400.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,1800.09,400.00,1200.04,1000.03,3200.30,4200.52,8602.19,1600.08,24217.40,3000.27,16508.29,13405.57,24678.95
19.8456,18408.74,25416.91,492284.55,1814465.70,15806.65,107507.52,4400.52,139117.16,22213.25,399755.19,9002.18,121195.39,33630.55,18209.00,107916.82,327748.58,143367.57,222568.21,281423.51,63915.67,262371.22,337048.71,389740.77,52279.17,67933.75,214129.42,72754.59,454988.53,182777.17,495939.75,179545.18,539463.23,124658.51,581465.72,169854.04,342841.53,358132.20,306262.99
20.2506,186695.18,372602.03,8255055.45,5653463.28,196624.45,717062.40,46056.73,705709.86,90017.18,1327795.59,31526.77,736149.90,171592.19,153840.31,419752.69,1138174.39,753413.72,1505838.61,1364315.82,396408.15,1227807.23,1523471.35,1897266.31,266850.17,253045.73,858371.29,282110.21,1945785.22,471857.71,2066453.27,700782.37,2025621.75,454023.58,2034893.38,586871.44,1103786.33,1018576.56,828190.08
20.6556,399476.20,797730.81,21583306.94,13092855.51,459967.33,1219126.23,101877.15,1785965.29,165129.41,2506984.14,43049.91,1448277.48,475021.73,313446.70,868503.42,2600953.12,1404802.63,2738109.68,2568635.42,760667.38,2448338.75,2546957.49,3256441.54,521163.13,467665.67,1680708.27,492806.84,3241655.45,883786.82,3382442.74,1082469.73,3431402.48,821721.19,3413112.23,931521.00,1763221.87,1768457.70,1241377.03
21.0606,602009.57,1181892.09,29289187.06,17875939.93,568067.68,1647187.73,128440.20,2209244.98,228392.94,3086650.04,71136.16,1909416.55,533792.09,351525.37,1287304.22,3405079.99,1933010.17,3559888.99,3440787.18,844351.17,3324179.85,3447465.45,4174848.34,677875.20,621621.39,2164412.60,695057.42,4359050.13,1123960.06,4303817.31,1558785.54,4268395.19,1030305.27,4216774.00,1194816.21,2258987.82,2222190.27,1599676.63
21.4656,1020763.51,1577618.83,36901263.64,20146101.36,766121.88,1942250.83,155242.63,2632566.91,266291.67,3816138.72,79670.75,2347551.63,618572.22,435082.71,1507319.84,3770805.87,2567507.09,4290713.18,4334173.05,950981.05,3963330.30,3974557.17,4950330.18,789897.31,707023.10,2760400.34,788799.66,4935422.87,1371574.80,5252395.57,1860154.84,5252841.66,1165056.05,5236590.03,1372659.57,2656727.06,2499549.93,1880314.36
21.8696,1303568.06,1785004.64,39527419.26,24168173.91,894203.42,2469425.89,190163.35,3309083.64,312400.34,4274464.40,86199.86,2672297.76,780943.70,495789.26,1725542.87,4304678.71,2912996.27,5124991.21,4754078.79,1120094.53,4623917.62,4893370.12,5720879.85,928982.13,802263.67,3383587.51,917809.47,6081138.35,1587672.11,6433393.70,2117949.14,6008196.63,1405350.88,6270886.98,1744160.61,3070540.49,3125980.98,2211376.80
22.2746,1420081.09,2021465.86,49358727.66,27205927.73,846421.68,2795817.37,215030.96,4239808.95,347616.60,4706102.17,102281.28,3228630.17,956295.70,581441.89,2022166.84,5244442.19,3162498.65,5779980.45,5702477.66,1467793.17,5411245.21,5085383.45,6086533.83,1027123.44,915507.32,3506442.13,1064567.09,6482765.72,1771218.02,7340858.30,2513224.01,6941413.65,1536190.12,6823840.41,1989927.49,3454707.05,3510019.74,2435903.67
